disease,donor_id,archetype_max_weight,count,total_cells,fraction
CM,P1358,2,3179,6383,0.49804167319442266
CM,P1437,2,2489,7737,0.3217009176683469
CM,P1304,2,2480,8807,0.2815941864426025
CM,P1479,2,2325,7415,0.3135536075522589
CM,P1472,2,2311,5771,0.40045052850459195
CM,P1422,2,2211,4833,0.45747982619491
CM,P1617,2,2047,5446,0.3758721997796548
CM,P1630,2,1731,4553,0.3801888864484955
CM,P1462,2,1710,4126,0.4144449830344159
CM,P1735,2,1704,4367,0.39019922143347835
CM,P1430,2,1702,3584,0.47488839285714285
CM,P1425,2,1647,7168,0.22977120535714285
CM,P1371,2,1635,3674,0.4450190528034839
CM,P1722,2,1628,5090,0.3198428290766208
CM,P1606,2,1583,3238,0.48888202594193947
CM,P1631,2,1406,3510,0.40056980056980057
CM,P1300,2,1393,3558,0.39151208544125915
CM,P1602,2,1334,2625,0.5081904761904762
CM,P1447,2,1004,3831,0.26207256590968414
CM,P1726,2,996,2056,0.48443579766536965
NF,P1539,2,990,2815,0.35168738898756663
NF,P1561,2,977,3355,0.29120715350223547
CM,P1510,2,955,2201,0.4338936846887778
NF,P1515,2,924,3869,0.23882140087878004
NF,P1610,2,885,2689,0.3291186314615099
NF,P1582,2,865,2888,0.2995152354570637
NF,P1603,2,822,2945,0.27911714770797963
NF,P1718,2,805,2688,0.2994791666666667
CM,P1508,2,756,2665,0.28367729831144467
NF,P1549,2,703,3367,0.2087912087912088
CM,P1707,2,674,1963,0.3433520122261844
CM,P1504,2,652,2187,0.2981252857796068
NF,P1558,2,590,2321,0.25420077552778975
NF,P1622,2,578,2146,0.26933830382106244
NF,P1516,2,533,1838,0.28998911860718174
NF,P1600,2,527,1684,0.31294536817102137
CM,P1685,2,487,1241,0.39242546333601935
NF,P1678,2,440,1526,0.28833551769331583
NF,P1547,2,399,1315,0.30342205323193916
CM,P1290,2,397,971,0.40885684860968075
NF,P1702,2,356,1333,0.2670667666916729
NF,P1540,2,327,1440,0.22708333333333333
