gene,variable,value
AL627309.1,arch_0,-0.018382782
AL627309.5,arch_0,-0.023955906
AP006222.2,arch_0,-0.019083567
LINC01409,arch_0,0.0037209224
FAM87B,arch_0,-0.019377628
LINC01128,arch_0,0.011555592
LINC00115,arch_0,-0.025039311
AL645608.6,arch_0,-0.014877769
LINC02593,arch_0,-0.00037459005
SAMD11,arch_0,0.032208778
NOC2L,arch_0,-0.005832618
KLHL17,arch_0,-0.024401711
AL645608.7,arch_0,-0.025133776
HES4,arch_0,0.0076901163
ISG15,arch_0,-0.020106507
AGRN,arch_0,-0.022885961
C1orf159,arch_0,0.008391258
AL390719.3,arch_0,-0.023858624
SDF4,arch_0,-0.024215054
B3GALT6,arch_0,-0.022637552
UBE2J2,arch_0,-0.0008784021
LINC01786,arch_0,-0.018140577
SCNN1D,arch_0,-0.018136164
ACAP3,arch_0,0.016198913
PUSL1,arch_0,-0.021465568
INTS11,arch_0,-0.0047700326
DVL1,arch_0,-0.02189105
MXRA8,arch_0,-0.002471652
AURKAIP1,arch_0,-0.017062541
CCNL2,arch_0,-0.002304808
MRPL20-AS1,arch_0,-0.02685206
MRPL20,arch_0,-0.004436412
AL391244.2,arch_0,-0.024088683
ANKRD65,arch_0,-0.023080356
VWA1,arch_0,-0.023028467
ATAD3C,arch_0,-0.01939792
ATAD3B,arch_0,-0.0024081974
ATAD3A,arch_0,-0.014472946
TMEM240,arch_0,-0.023004098
SSU72,arch_0,-0.0065513356
AL645728.1,arch_0,-0.023786541
AL691432.2,arch_0,-0.025094615
MIB2,arch_0,-0.003629163
MMP23B,arch_0,-0.00013900969
CDK11B,arch_0,0.0020445036
FO704657.1,arch_0,-0.021400183
SLC35E2B,arch_0,0.0015723743
CDK11A,arch_0,-0.0052379617
SLC35E2A,arch_0,0.0056373454
NADK,arch_0,-0.0038951305
GNB1,arch_0,-0.0014830589
CFAP74,arch_0,-0.022895588
PRKCZ,arch_0,-0.018862559
FAAP20,arch_0,0.0031814554
AL590822.1,arch_0,-0.016784655
SKI,arch_0,0.023444511
AL590822.3,arch_0,-0.019857408
MORN1,arch_0,-0.0020912467
RER1,arch_0,-0.014639371
PEX10,arch_0,-0.020234162
PANK4,arch_0,-0.02303965
TNFRSF14-AS1,arch_0,-0.017873315
TNFRSF14,arch_0,0.0063874754
TTC34,arch_0,-0.021225903
PRDM16,arch_0,0.007660028
MEGF6,arch_0,0.03458124
AL513320.1,arch_0,-0.025529627
TPRG1L,arch_0,-0.026360998
WRAP73,arch_0,-0.012241164
TP73,arch_0,-0.021482218
CCDC27,arch_0,-0.018299049
LRRC47,arch_0,-0.008224133
CEP104,arch_0,5.893022e-05
DFFB,arch_0,-0.0028151416
C1orf174,arch_0,-0.017057242
LINC01134,arch_0,-0.022445273
AJAP1,arch_0,-0.03307201
AL365255.1,arch_0,-0.018660247
NPHP4,arch_0,0.0016483894
KCNAB2,arch_0,0.002956344
CHD5,arch_0,-0.02013016
RPL22,arch_0,-0.009543252
RNF207,arch_0,-0.014000555
ICMT,arch_0,-0.024627112
GPR153,arch_0,-0.0023343489
ACOT7,arch_0,-0.010761033
ESPN,arch_0,-0.022343438
TNFRSF25,arch_0,-0.008384176
PLEKHG5,arch_0,0.0020613726
NOL9,arch_0,-0.0061525465
TAS1R1,arch_0,-0.024108892
ZBTB48,arch_0,-0.012139079
KLHL21,arch_0,-0.01677542
PHF13,arch_0,-0.01045347
THAP3,arch_0,-0.012297985
DNAJC11,arch_0,-0.0051920814
CAMTA1-DT,arch_0,-0.021278476
CAMTA1,arch_0,-0.024705514
VAMP3,arch_0,-0.008297221
PER3,arch_0,0.07425307
Z98884.1,arch_0,-0.007507423
UTS2,arch_0,-0.02067137
PARK7,arch_0,-0.020795913
AL034417.4,arch_0,-0.025669891
AL034417.3,arch_0,-0.024695594
ERRFI1,arch_0,-0.023748616
AL034417.2,arch_0,-0.0015640542
SLC45A1,arch_0,-0.031240199
RERE,arch_0,-0.021543832
RERE-AS1,arch_0,-0.022877954
ENO1,arch_0,-0.020075383
CA6,arch_0,-0.01607987
SLC2A5,arch_0,-0.020167599
GPR157,arch_0,-0.0047685876
MIR34AHG,arch_0,-0.007860837
LNCTAM34A,arch_0,-0.0157362
H6PD,arch_0,-0.021870019
SPSB1,arch_0,0.03961593
LINC02606,arch_0,-0.020439591
SLC25A33,arch_0,0.00059859693
TMEM201,arch_0,-0.01988569
PIK3CD,arch_0,-0.0034850459
PIK3CD-AS2,arch_0,-0.024730898
CLSTN1,arch_0,-0.007821252
CTNNBIP1,arch_0,0.0027573407
AL357140.4,arch_0,-0.022965254
LZIC,arch_0,-0.0030580426
