archetype,gene,log1p,raw,z_scaled
arch_0,A1BG,0.008238124,0.014167242,0.0028875514
arch_0,A1BG-AS1,0.007997843,0.014202327,0.0017145335
arch_0,A2M,0.059480425,0.14348888,-0.023088552
arch_0,A2M-AS1,0.0012521483,0.004120969,-0.023266576
arch_0,A2ML1,0.0062471926,0.010502786,-0.008417236
arch_0,A2ML1-AS1,0.021557808,0.035672713,0.0129242325
arch_0,A3GALT2,0.0027729413,0.005016571,-0.021627301
arch_0,A4GALT,0.04188211,0.08457094,-0.0058633476
arch_0,AAAS,0.013152342,0.023567684,-0.0025356412
arch_0,AACS,0.024135763,0.04392297,-0.035008516
arch_0,AADACL2,0.001100673,0.001838608,-0.022711705
arch_0,AADACL2-AS1,0.004794817,0.009577174,-0.030024637
arch_0,AADAT,0.013731345,0.023657748,-0.0010006509
arch_0,AAGAB,0.05970195,0.11008492,-0.0105217695
arch_0,AAK1,0.09490623,0.34301403,-0.053661417
arch_0,AAMDC,0.1008279,0.18233028,0.005525689
arch_0,AAMP,0.01499232,0.0265922,-0.006591774
arch_0,AAR2,0.015519523,0.027649034,-0.0026512544
arch_0,AARS,0.032799996,0.057358563,-0.004017514
arch_0,AARS2,0.014028522,0.02458538,-0.004800157
arch_0,AARSD1,0.021822255,0.037995383,-0.00382278
arch_0,AASDH,0.041571002,0.07348955,0.004102646
arch_0,AASDHPPT,0.023311662,0.042009447,-0.0020625729
arch_0,AASS,0.120124094,0.22889519,-0.026551673
arch_0,AATBC,0.0013479082,0.0024109178,-0.020200457
arch_0,AATF,0.06650667,0.12271832,-0.011776705
arch_0,AATK,0.0029593427,0.006478863,-0.028526302
arch_0,ABAT,0.025654763,0.0464849,-0.01638435
arch_0,ABCA1,0.15921412,0.30356476,0.0029803924
arch_0,ABCA10,1.0465037,3.1692064,0.1705716
arch_0,ABCA12,0.0023207387,0.0039660856,-0.020628627
arch_0,ABCA13,0.0010350844,0.001978648,-0.022619067
arch_0,ABCA2,0.0060650813,0.010420936,-0.009610118
arch_0,ABCA3,0.020446984,0.034215786,-0.0073551163
arch_0,ABCA4,0.0031287274,0.0054371753,-0.012718958
arch_0,ABCA5,0.122491084,0.23286276,0.028096862
arch_0,ABCA6,1.1470542,3.5214074,0.14499511
arch_0,ABCA7,0.00047530688,0.002601689,-0.022127233
arch_0,ABCA8,1.2296183,3.8590395,0.23462622
arch_0,ABCA9,1.0049139,3.1158922,0.17897359
arch_0,ABCA9-AS1,0.62724024,1.5386834,0.21165602
arch_0,ABCB1,0.0016003709,0.015424405,-0.033312876
arch_0,ABCB10,0.04002744,0.070708185,-0.0043086265
arch_0,ABCB11,0.00055487605,0.0014120864,-0.042319994
arch_0,ABCB5,0.00246979,0.0049550897,-0.027885616
arch_0,ABCB6,0.008756415,0.015635293,-0.01950223
arch_0,ABCB7,0.06892247,0.12627327,0.0034223439
arch_0,ABCB8,0.019718055,0.03495134,-0.00024234687
arch_0,ABCB9,0.013680928,0.023730012,0.0044441307
