archetype,gene,raw,log1p,z_scaled,rank
arch_1,POSTN,3.1772418,0.6691079,0.6897426,1
arch_1,FGF14,3.8072326,1.0767409,0.62245464,2
arch_1,THBS4,1.966552,0.59837574,0.5785329,3
arch_1,FAM155A,1.3652732,0.399988,0.514231,4
arch_1,PALLD,2.3490572,0.43532673,0.44385076,5
arch_1,KALRN,1.0170898,0.3864683,0.40906104,6
arch_1,LDLRAD4,1.2688622,0.543683,0.40118563,7
arch_1,UACA,1.5420448,0.6335767,0.37183598,8
arch_1,LTBP2,1.7288556,0.6526247,0.3612273,9
arch_1,PLXDC2,5.7098207,1.4513546,0.35930145,10
arch_1,NOX4,2.3790019,0.7619542,0.31150645,11
arch_1,FN1,3.161842,0.80212456,0.30348167,12
arch_1,COL12A1,1.3569427,0.5518578,0.2955066,13
arch_1,MIR100HG,1.6000158,0.64845264,0.2947185,14
arch_1,AFF3,1.8789555,0.70520544,0.28451407,15
arch_1,TSHZ2,2.476441,0.81687284,0.2827748,16
arch_1,MEF2A,1.0232166,0.38742316,0.28028324,17
arch_1,MYO1D,1.4231387,0.5899658,0.276418,18
arch_1,COL1A2,1.7574241,0.6894594,0.27053353,19
arch_1,AL590807.1,2.366019,0.7609375,0.25999182,20
arch_1,SGIP1,1.455988,0.60564953,0.24009265,21
arch_1,AL445250.1,1.6963212,0.6444486,0.23830833,22
arch_1,AGAP1,1.8084902,0.7233508,0.23723093,23
arch_1,DLC1,2.9309425,0.97418845,0.23515977,24
arch_1,COL3A1,1.6574107,0.6044314,0.22036465,25
arch_1,EPHA3,1.7295526,0.6877572,0.21806313,26
arch_1,SLC8A1,2.0858536,0.11622976,0.18870968,27
arch_1,JMJD1C,2.5833313,0.96064883,0.16276811,28
arch_1,ZEB1,3.3475962,1.0893575,0.1627584,29
arch_1,TCF4,2.769672,1.0128633,0.15908113,30
arch_1,PPFIBP1,1.1798307,0.5457257,0.1589401,31
arch_1,PDE5A,1.1490515,0.5025244,0.15402731,32
arch_1,TRIO,1.1788185,0.5149678,0.15159012,33
arch_1,MACF1,1.4037946,0.6219512,0.14929868,34
arch_1,PEAK1,1.1966932,0.5309488,0.14148024,35
arch_1,AC011246.1,3.3266256,0.9930902,0.13918306,36
arch_1,CCDC80,1.3534309,0.55036974,0.13860941,37
arch_1,GAB2,1.0783238,0.4827623,0.13692042,38
arch_1,VCAN,1.1591334,0.47484133,0.13565879,39
arch_1,LHFPL6,4.0129747,1.1658775,0.13496175,40
arch_1,ABI3BP,1.6721826,0.65135187,0.1315483,41
arch_1,COL8A1,2.2972972,0.7825453,0.12662463,42
arch_1,PHLDB1,1.0282826,0.47813603,0.12243986,43
arch_1,SOX6,1.8982301,0.7132225,0.121674895,44
arch_1,FOXP1,1.4092646,0.5971384,0.115957566,45
arch_1,RIN2,1.2312951,0.5512763,0.11569747,46
arch_1,AOPEP,1.1332791,0.4527695,0.107077315,47
arch_1,CHD9,2.419972,0.9254781,0.10648144,48
arch_1,EXT1,2.289,0.8118542,0.10638591,49
arch_1,TRPS1,1.8478093,0.75091994,0.10421203,50
